mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Roger Joseph Boscovich,"['physicist', 'astronomer', 'mathematician', 'philosopher', 'diplomat', 'poet', 'theologian', 'priest', 'polymath', 'historian', 'scientist', 'writer', 'cleric', 'university teacher']",['Republic of Ragusa'],"Dubrovnik, Republic of Ragusa",13 February 1787,['Pontifical Gregorian University'],['Pontifical Gregorian University'],"['Milan', 'Habsburg Empire']","['Royal Society', 'Russian Academy of Sciences', 'Russian Academy of Sciences']",['Pontifical Gregorian University'],NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,18,May,1711,FALSE,13,February,1787,
Emma Previato,['mathematician'],"['United States of America', 'Italy']",Badia Polesine,NULL,"['Harvard University', 'University of Padua']","['Boston University', 'University of Padua']",NULL,['American Mathematical Society'],"['Boston University', 'University of Padua']",['David Mumford'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,1952,FALSE,NULL,NULL,NULL,
Feodor Deahna,['mathematician'],NULL,NULL,1844,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['differential geometry'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1815,FALSE,NULL,NULL,1844,
Denis Henrion,"['publisher', 'mathematician']",['France'],NULL,1640,NULL,NULL,NULL,NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],TRUE,NULL,NULL,1500,FALSE,NULL,NULL,1640,
Henri Delannoy,"['mathematician', 'historian', 'military personnel']",['France'],Bourbonne-les-Bains,5-Feb-15,['École Polytechnique'],NULL,['Guéret'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,September,1833,FALSE,5,February,1915,
John Hymers,['mathematician'],NULL,Ormesby,7 April 1887,"[""St John's College""]",NULL,['Brandesburton'],['Royal Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,20,July,1803,FALSE,7,April,1887,
Alexander Grothendieck,"['mathematician', 'university teacher']","['France', '1971', '1971', 'statelessness', 'statelessness']",Berlin,13-Nov-14,"['University of Montpellier', '1945', '1948', 'École Normale Supérieure', '1948', '1949', 'irregular student', 'Nancy-Université', '1949', '1953']","['CNRS', '1950', '1958', 'Institut des Hautes Études Scientifiques', '1959', '1970', 'Collège de France', '1970', '1972', 'University of Paris-Sud', '1972', '1973', 'University of Montpellier', '1973', '1984', 'CNRS', '1984', '1988']",['Saint-Girons'],['American Academy of Arts and Sciences'],"['CNRS', '1950', '1958', 'Institut des Hautes Études Scientifiques', '1959', '1970', 'Collège de France', '1970', '1972', 'University of Paris-Sud', '1972', '1973', 'University of Montpellier', '1973', '1984', 'CNRS', '1984', '1988']","['Laurent Schwartz', 'Jean Dieudonné']",['French'],NULL,NULL,NULL,NULL,"['algebraic geometry', 'functional analysis']","['Fields Medal', '1966', 'Émile Picard Medal', '1977',",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Theodore James Courant,['mathematician'],['United States of America'],NULL,NULL,"['Reed College', 'University of California, Berkeley']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Ljubomir Chakaloff,['mathematician'],NULL,NULL,11-Sep-63,['Sofia University'],NULL,['Sofia'],['Bulgarian Academy of Sciences'],NULL,"['Ernesto Pascal', '1925']",NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,NULL,['mathematics'],NULL,NULL,['human'],['male'],FALSE,18,February,1886,FALSE,11,September,1963,
Earnshaw Cook,[''],NULL,NULL,11/11/1987,NULL,['Johns Hopkins University'],NULL,NULL,['Johns Hopkins University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,March,1900,FALSE,11,November,1987,
Nikolay Bogolyubov,"['mathematician', 'theoretical physicist', 'inventor', 'academic', 'non-fiction writer', 'physicist']","['Soviet Union', 'Russia', 'Ukraine']",Nizhny Novgorod,13-Feb-92,NULL,"['Taras Shevchenko National University of Kyiv', '1934', '1959', 'Steklov Institute of Mathematics', '1950', 'Moscow State University', '1950', 'Joint Institute for Nuclear Research', '1956', 'Bogolyubov Institute for Theoretical Physics', '1965', '1973']","['Moscow', 'Russia']","['German Academy of Sciences at Berlin', '1966', 'National Academy of Sciences of Ukraine', 'National Academy of Sciences', '1959', 'Russian Academy of Sciences', 'Academy of Sciences of the USSR', 'Heidelberg Academy for Sciences and Humanities', '1969', 'corresponding member', 'American Academy of Arts and Sciences', '1960', 'Bulgarian Academy of Sciences', '1961', 'Polish Academy of Sciences', '1962', 'Hungarian Academy of Sciences', '1970', 'Indian National Science Academy', '1983']",['Taras Shevchenko National,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Henry W. Gould,['mathematician'],['United States of America'],Portsmouth,NULL,NULL,['West Virginia University'],NULL,NULL,['West Virginia University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,August,1928,FALSE,NULL,NULL,NULL,
